Date,news,Adj Close
2012-12-19,Nirmal Bang bullish Punjab recommended buy rating stock target price Rs 875 January 10 201Dolat Capital bullish Punjab recommended buy rating stock target Rs 1309 January 10 2012,112.91338300000001
2012-12-17,KRChoksey come December quarterly earning estimates banking sector According research firm Q3FY12 private sector banMotilal Oswal come December quarterly earning estimates financial sector,111.10900900000001
2012-12-13,target Rs 950 says Sudarshan Sukhani s2analyticscom,108.76064299999999
2012-10-12,According IIFL traders sell Punjab February futures Rs 911 stop loss Rs 931 target Rs 870 Jan,108.83361799999999
2012-07-12,test Rs 22502300 says Amit Harchekar IIFL,112.05763200000001
2012-06-12,Prakash Diwan Asit C Mehta Investment advice investors avoid PSU Banks,92.00048100000001
2012-04-12,Stateowned Punjab Banks third quarter OctoberDecember net profit moderated 55 yearonyear Rs 1150 crore back highPNB test Rs 910915 says Devangshu Dutta Consulting Editor Outlook,104.714729
2012-03-12,Interest earned quarter Rs 948103 crore net profit Rs 115004 croreThe Finance Ministry working financial implication Supreme Court judgement cancel 122 telecom licences banking sector,111.42758899999998
2012-11-30,Public sector banks exposure Rs 10000 crore telecom companies whose licences cancelled Supreme Court connectio,104.136902
2012-11-29,Angel Broking bullish Punjab recommended accumulate rating stock target Rs 1036 February 1,101.728851
2012-11-27,One go long Punjab says Sudarshan Sukhani s2analyticscom,100.096939
2012-11-22,Dolat Capital bullish Punjab recommended buy rating stock target price Rs 1238 February 1 2,97.350563
2012-11-19,The ministry finance MoF shortlisted 17 GMs different public sector banks promote level EDs Around 5060 GMs appeared,98.70384200000001
2012-11-16,On CNBCTV18s show Super Six market gurus Vishal Kshatriya Sr Derivative Technical Analyst Edelweiss Vishal B Malkan CMT wwwmalkansviewco,98.564545
2012-11-15,Abhijeet Power Ltd unlisted utility operational capacity 246 MW plans raise Rs 5920 crore debt 1320 MW coalfired power proj,101.264481
2012-12-11,State India countrys top lender issue shares federal government Rs 219169 piece raise Rs 79 billion st,110.06748999999999
2012-09-11,Sell says Sudarshan Sukhani s2analyticscom,90.889267
2012-07-11,On CNBCTV18s show Super Six market gurus Hemen Kapadia CEO chartpunditcom Vishal Malkan wwwmalkansviewcom Arunesh Madan Founder,114.49886299999999
